Category,Sub Category,Product,Price,Stars_and_Count,,,,
Industrial & Scientific,Everything Else,"[2 PACK] Wine Bottle Stoppers,Real Vacuum Stoppers,Reusable Wine Preserver,Wine Corks Keep Fresh,Best Christmas and Birthday Gifts for Wine Lovers.",$13.96 ,"4.4 out of 5 stars 6,610  ",,,,
Industrial & Scientific,Cell Phones & Accessories,[Apple MFi Certified] 6Pack 3/3/6/6/6/10 FT iPhone Charger Nylon Braided Fast Charging Lightning Cable Compatible iPhone 14 Pro/13 mini/13/12/11 Pro MAX/XR/XS/8/7/Plus/6S/SE/iPad,$8.99 ,"4.4 out of 5 stars 43,416  ",,,,
Industrial & Scientific,Electronics,[Apple MFi Certified] 6Pack 3/3/6/6/6/10 FT iPhone Charger Nylon Braided Fast Charging Lightning Cable Compatible iPhone 14 Pro/13 mini/13/12/11 Pro MAX/XR/XS/8/7/Plus/6S/SE/iPad,$8.99 ,"4.4 out of 5 stars 43,416  ",,,,
Industrial & Scientific,Toys & Games,"[Premium] 4 Pack Ground Anchors with Power Nut Driver Drill Bit, Ground Anchors Screw in, Swing Set Anchors, Trampoline Anchors High Wind Heavy Duty for Camping Tents, Car Ports, Swing Sets, Canopies",$28.99 ,4.6 out of 5 stars 349  ,,,,
Baby,Electronics,"[UL Listed] 9V Replacement for Medela Pump Adapter, Power Adapter Supply for Medela Pump in Style Advanced Breast Pump - #9207010 by PumpMom (6.6 Ft Long Cord)",$9.80 ,4.6 out of 5 stars 709  ,,,,
Industrial & Scientific,Everything Else,10 Pcs Travel Hangers Cruise Ship Essentials Accessories Portable Folding Clothes Hanger Foldable Drying Rack,$9.99 ,"4.6 out of 5 stars 5,299  ",,,,
Health & Household,"Patio, Lawn & Garden","100 Count 55-60 Gallon Trash Bags, Sturdy & Tear-Resistant Commercial Can Liners 55 Gallon, Large Garbage Bags, Large Black Trash Bags for Commercial, Lawn and Leaf Bags",$35.99 ,4.2 out of 5 stars 915  ,,,,
Industrial & Scientific,"Patio, Lawn & Garden","100 Count 55-60 Gallon Trash Bags, Sturdy & Tear-Resistant Commercial Can Liners 55 Gallon, Large Garbage Bags, Large Black Trash Bags for Commercial, Lawn and Leaf Bags",$35.99 ,4.2 out of 5 stars 915  ,,,,
"Music, CDs & Vinyl",,100 Country Greats / Various,$19.25 ,4.5 out of 5 stars 159  ,,,,
"Music, CDs & Vinyl",,100 Hits Of The 50s / Various,$14.55 ,4.7 out of 5 stars 347  ,,,,
Industrial & Scientific,Sports & Outdoors,"100 Pack - 16 oz Clear Plastic Cups with Lids and Straws, Sturdy & Food Safe Iced Coffee Cups with lids, Disposable Plastic Smoothie Cups for Cold Drinks",$21.98 ,"4.8 out of 5 stars 1,274  ",,,,
Health & Household,"Arts, Crafts & Sewing",100 Sheets White Tissue Paper Artdly 14 x 20 Inches Recyclable White Wrapping Paper Bulk for Weddings Birthday DIY Project Festival Wrapping Crafts Decor,$7.99 ,"4.7 out of 5 stars 5,072  ",,,,
